Name,Season,Review Link,Year
The Target,1,https://www.imdb.com/title/tt0749451/reviews,2002
The Detail,1,https://www.imdb.com/title/tt0749448/reviews,2002
The Buys,1,https://www.imdb.com/title/tt0749446/reviews,2002
Old Cases,1,https://www.imdb.com/title/tt0749437/reviews,2002
The Pager,1,https://www.imdb.com/title/tt0749450/reviews,2002
The Wire,1,https://www.imdb.com/title/tt0749452/reviews,2002
One Arrest,1,https://www.imdb.com/title/tt0749438/reviews,2002
Lessons,1,https://www.imdb.com/title/tt0749433/reviews,2002
Game Day,1,https://www.imdb.com/title/tt0749429/reviews,2002
The Cost,1,https://www.imdb.com/title/tt0749447/reviews,2002
The Hunt,1,https://www.imdb.com/title/tt0749449/reviews,2002
Cleaning Up,1,https://www.imdb.com/title/tt0749424/reviews,2002
Sentencing,1,https://www.imdb.com/title/tt0749441/reviews,2002
Ebb Tide,2,https://www.imdb.com/title/tt0749428/reviews,2003
Collateral Damage,2,https://www.imdb.com/title/tt0749425/reviews,2003
Hot Shots,2,https://www.imdb.com/title/tt0749432/reviews,2003
Hard Cases,2,https://www.imdb.com/title/tt0749430/reviews,2003
Undertow,2,https://www.imdb.com/title/tt0749454/reviews,2003
All Prologue,2,https://www.imdb.com/title/tt0749419/reviews,2003
Backwash,2,https://www.imdb.com/title/tt0749422/reviews,2003
Duck and Cover,2,https://www.imdb.com/title/tt0749427/reviews,2003
Stray Rounds,2,https://www.imdb.com/title/tt0749445/reviews,2003
Storm Warnings,2,https://www.imdb.com/title/tt0749443/reviews,2003
Bad Dreams,2,https://www.imdb.com/title/tt0749423/reviews,2003
Port in a Storm,2,https://www.imdb.com/title/tt0749439/reviews,2003
Time After Time,3,https://www.imdb.com/title/tt0749453/reviews,2004
All Due Respect,3,https://www.imdb.com/title/tt0749418/reviews,2004
Dead Soldiers,3,https://www.imdb.com/title/tt0749426/reviews,2004
Hamsterdam,3,https://www.imdb.com/title/tt0749420/reviews,2004
Straight and True,3,https://www.imdb.com/title/tt0749444/reviews,2004
Homecoming,3,https://www.imdb.com/title/tt0749431/reviews,2004
Back Burners,3,https://www.imdb.com/title/tt0749421/reviews,2004
Moral Midgetry,3,https://www.imdb.com/title/tt0749436/reviews,2004
Slapstick,3,https://www.imdb.com/title/tt0749442/reviews,2004
Reformation,3,https://www.imdb.com/title/tt0749440/reviews,2004
Middle Ground,3,https://www.imdb.com/title/tt0749434/reviews,2004
Mission Accomplished,3,https://www.imdb.com/title/tt0749435/reviews,2004
Boys of Summer,4,https://www.imdb.com/title/tt0763093/reviews,2006
Soft Eyes,4,https://www.imdb.com/title/tt0763095/reviews,2006
Home Rooms,4,https://www.imdb.com/title/tt0763096/reviews,2006
Refugees,4,https://www.imdb.com/title/tt0763097/reviews,2006
Alliances,4,https://www.imdb.com/title/tt0763098/reviews,2006
Margin of Error,4,https://www.imdb.com/title/tt0763099/reviews,2006
Unto Others,4,https://www.imdb.com/title/tt0758650/reviews,2006
Corner Boys,4,https://www.imdb.com/title/tt0796549/reviews,2006
Know Your Place,4,https://www.imdb.com/title/tt0763100/reviews,2006
Misgivings,4,https://www.imdb.com/title/tt0763094/reviews,2006
A New Day,4,https://www.imdb.com/title/tt0782660/reviews,2006
That's Got His Own,4,https://www.imdb.com/title/tt0796551/reviews,2006
Final Grades,4,https://www.imdb.com/title/tt0796550/reviews,2006
More with Less,5,https://www.imdb.com/title/tt0977178/reviews,2008
Unconfirmed Reports,5,https://www.imdb.com/title/tt0985516/reviews,2008
Not for Attribution,5,https://www.imdb.com/title/tt0977180/reviews,2008
Transitions,5,https://www.imdb.com/title/tt0977181/reviews,2008
React Quotes,5,https://www.imdb.com/title/tt0977182/reviews,2008
The Dickensian Aspect,5,https://www.imdb.com/title/tt0977183/reviews,2008
Took,5,https://www.imdb.com/title/tt0977184/reviews,2008
Clarifications,5,https://www.imdb.com/title/tt0977185/reviews,2008
Late Editions,5,https://www.imdb.com/title/tt0977186/reviews,2008
-30-,5,https://www.imdb.com/title/tt0977179/reviews,2008
